userid,timestamp,tweet_text,username,all_hashtags,followers_count,following_count,allnumberoftweetscount,retweets,likes
1280881940351107074,2020-11-21 23:59:25,"b""#Siacoin hits three-tenths of a penny!  $136,463,652 market cap! Criminally Underrated.  Let's build the Free Internet!  #Bitcoin #Ethereum #cryptocurrency #web3 #cloud $BTC $SC https://t.co/Xbk8YlsBB3""",b'BuildForFreedom',"['Siacoin', 'Bitcoin', 'Ethereum', 'cryptocurrency', 'web3', 'cloud']",63,85,479,1,2
729754661213884416,2020-11-21 23:58:56,"b'New article: ""Bulls hit the free-agent market, inking veteran guard Garrett Temple"" has been published on Fintech Zoom - https://t.co/evhEZAKyKi @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,0,0
1241749653013630976,2020-11-21 23:58:52,"b'\xf0\x9f\x92\xbb#Montreal #tech firm GSoft goes #digital first, funky #office second  #StartUp #business #AI  #remotework #teleworking  #leadership #Tesla #ML #softwaredevelopment #data #investments #FemTech #100DaysOfCode #RealEstate #100DaysOfMLCode #100daysofcloud   https://t.co/5p53OKJ23r'",b'NancyTr83158469',"['Montreal', 'tech', 'digital', 'office', 'StartUp', 'business', 'AI', 'remotework', 'teleworking', 'leadership', 'Tesla', 'ML', 'softwaredevelopment', 'data', 'investments', 'FemTech', '100DaysOfCode', 'RealEstate', '100DaysOfMLCode', '100daysofcloud']",1898,1816,4985,10,10
16579474,2020-11-21 23:58:24,"b""Get real!  Don't believe everything you see, read or hear online. #FakeFaces are available for $2.99 each or 1,000 for $1,000.  You can adjust their ethnicity &amp; age, animate &amp; even make them talk.  #ArtificialIntelligence #AI  #DECEPTION #CyberSecurity  https://t.co/09ZDwqGrNs""",b'JohnOneFive',"['FakeFaces', 'ArtificialIntelligence', 'AI', 'DECEPTION', 'CyberSecurity']",2603,0,189,4,0
2794378935,2020-11-21 23:57:21,b'Are you looking to rapidly expand your home working capabilities? Enable video collaboration for your business: Access your FREE Vidyo Trial now -&gt; @EnghouseInterac  #videoconferencing #stayconnected #cloud https://t.co/yQhS8eyqic',b'patriciamerch10',"['videoconferencing', 'stayconnected', 'cloud']",387,721,1409,1,2
729754661213884416,2020-11-21 23:56:56,"b'New article: ""America Airlines  - Struggling airlines seek to stay in the skies -"" has been published on Fintech Zoom - https://t.co/XYhhxzIscB @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,0,0
254848319,2020-11-21 23:55:45,b'The 10 Coolest IoT Startups Of 2020 #iot #iiot #internetofthings https://t.co/VkVRzAtKC7',b'connect4growth',"['iot', 'iiot', 'internetofthings']",1060,2769,3416,1,0
2211900062,2020-11-21 23:55:34,"b'@berkinovy I calculated Xrp could go down 14.24% at most, in the next 24h, Dave.  #Bitcoin #Altcoins #crypto #cryptocurrency #blockchain #cryptotrading $xrp #ripple #bearish #sell'",b'crypto_hal9k',"['Bitcoin', 'Altcoins', 'crypto', 'cryptocurrency', 'blockchain', 'cryptotrading', 'ripple', 'bearish', 'sell']",52,53,653,1,0
277468962,2020-11-21 23:55:18,b'Is Blockchain the Perfect Defense Against DDoS Attacks?  https://t.co/ZM7NhsiscX  #pentest #magazine #pentestmag #pentestblog #PTblog #Blockchain #DDoS #attacks #defense #cybersecurity #infosecurity #infosec',b'PenTestMag',"['pentest', 'magazine', 'pentestmag', 'pentestblog', 'PTblog', 'Blockchain', 'DDoS', 'attacks', 'defense', 'cybersecurity', 'infosecurity', 'infosec']",18003,699,9422,5,4
148103797,2020-11-21 23:55:08,b'Here\xe2\x80\x99s how #Technology has changed the #world since 2000 | https://t.co/hq5gFv6sUQ | @wef via @chidambara09  #bigdata #AI #IoT #Tech #Data #Linux #socialmedia #greentech #dataScience  #healthech #digitalTransformation',b'PaulMBaker',"['Technology', 'world', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'Linux', 'socialmedia', 'greentech', 'dataScience', 'healthech', 'digitalTransformation']",2366,3334,21273,3,1
